date,maturity,yield
2025-04-07,1.0,2.65
2025-04-07,1.5,2.623
2025-04-07,2.0,2.612
2025-04-07,2.5,2.645
2025-04-07,3.0,2.657
2025-04-07,4.0,2.668
2025-04-07,5.0,2.732
2025-04-07,7.0,2.791
2025-04-07,10.0,2.849
2025-04-07,15.0,2.804
2025-04-07,20.0,2.735
2025-04-07,30.0,2.661
2025-04-08,0.25,2.765
2025-04-08,0.5,2.774
2025-04-08,0.75,2.718
2025-04-08,1.0,2.655
2025-04-08,1.5,2.63
2025-04-08,2.0,2.624
2025-04-08,2.5,2.655
2025-04-08,3.0,2.666
2025-04-08,4.0,2.687
2025-04-08,5.0,2.751
2025-04-08,7.0,2.816
2025-04-08,10.0,2.883
2025-04-08,15.0,2.845
2025-04-08,20.0,2.775
2025-04-08,30.0,2.701
2025-04-09,0.25,2.762
2025-04-09,0.5,2.767
2025-04-09,0.75,2.717
2025-04-09,1.0,2.655
2025-04-09,1.5,2.63
2025-04-09,2.0,2.64
2025-04-09,2.5,2.663
2025-04-09,3.0,2.681
2025-04-09,4.0,2.713
2025-04-09,5.0,2.77
2025-04-09,7.0,2.858
2025-04-09,10.0,2.931
2025-04-09,15.0,2.895
2025-04-09,20.0,2.82
2025-04-09,30.0,2.741
2025-04-10,0.25,2.757
2025-04-10,0.5,2.764
2025-04-10,0.75,2.713
2025-04-10,1.0,2.655
2025-04-10,1.5,2.636
2025-04-10,2.0,2.66
2025-04-10,2.5,2.686
2025-04-10,3.0,2.698
2025-04-10,4.0,2.72
2025-04-10,5.0,2.769
2025-04-10,7.0,2.845
2025-04-10,10.0,2.915
2025-04-10,15.0,2.886
2025-04-10,20.0,2.816
2025-04-10,30.0,2.737
2025-04-11,0.25,2.755
2025-04-11,0.5,2.76
2025-04-11,0.75,2.71
2025-04-11,1.0,2.646
2025-04-11,1.5,2.605
2025-04-11,2.0,2.618
2025-04-11,2.5,2.649
2025-04-11,3.0,2.658
2025-04-11,4.0,2.685
2025-04-11,5.0,2.732
2025-04-11,7.0,2.815
2025-04-11,10.0,2.893
2025-04-11,15.0,2.871
2025-04-11,20.0,2.808
